STATE_NAME,TYPE,STATUS,DIAMETER,NAME,SUB_OPER,OPERATOR,OWNER,SYS_NAME,SUBSYS_NM,TRANSCAP,COMMODITY,CMDTY_DESC,CMDTY_CODE,INTERSTATE,FLOW_DIR,RATE_ZONE,PREV_OWNER,TRANS_DATE,TRANS_NOTE,TRANS_ID,LOC_ID,LOC_DOCS,SEG_ID,SUBSEG_ID,SUBOPER_ID,OPER_ID,OPER_URL,OPER_DOCS,OWNER_ID,OWNER_URL,OWNER_DOCS,CONTACTS_URL,NOTES,CATCHALL,CNTY_NAME,CNTRY_NAME,MILES,UPDATE_NO,QUALITY,Shape_Length,geometry
Alabama,Distribution,Inactive,0,1875,0,1875,1875,0,0,0,1875,1875,1875,1875,0,1875,0,0,0,0,1875,0,0,0,0,1875,1875,1875,1875,1875,1875,0,0,1875,1875,1875,1875,1875,1875,1875,1875
Alabama,Distribution,Inactive,1,10,0,10,10,0,0,0,10,10,10,10,0,10,0,0,0,0,10,0,0,0,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10
Alabama,Distribution,Inactive,2,2,0,2,2,0,0,0,2,2,2,2,0,2,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2
Alabama,Distribution,Operational,0,375,0,375,375,0,0,0,375,375,375,375,0,375,0,0,0,0,375,0,0,0,0,375,373,372,375,373,372,0,39,375,375,375,375,375,375,375,375
Alabama,Distribution,Operational,1,6003,0,6003,6003,290,0,0,6003,6003,6003,6003,0,6003,0,0,0,0,6003,0,0,0,0,6003,6003,5696,6003,6003,5696,0,787,6003,6003,6003,6003,6003,6003,6003,6003
Alabama,Distribution,Operational,2,5985,0,5985,5985,378,0,0,5985,5985,5985,5985,0,5985,0,0,0,0,5985,0,0,0,0,5985,5985,5563,5985,5985,5563,0,3190,5985,5985,5985,5985,5985,5985,5985,5985
Alabama,Distribution,Operational,3,457,0,457,457,76,0,0,457,457,457,457,0,457,0,0,0,0,457,0,0,0,0,457,457,365,457,457,365,0,335,457,457,457,457,457,457,457,457
Alabama,Distribution,Operational,4,1494,0,1494,1494,157,0,0,1494,1494,1494,1494,0,1494,0,0,0,0,1494,0,0,0,0,1494,1493,1329,1494,1493,1329,0,1055,1494,1494,1494,1494,1494,1494,1494,1494
Alabama,Distribution,Operational,6,592,0,592,592,117,0,0,592,592,592,592,0,592,0,0,0,0,592,0,0,0,0,592,592,461,592,592,461,0,399,592,592,592,592,592,592,592,592
Alabama,Distribution,Operational,8,205,0,205,205,35,0,0,205,205,205,205,0,205,0,0,0,0,205,0,0,0,0,205,205,168,205,205,168,0,141,205,205,205,205,205,205,205,205
Alabama,Distribution,Operational,10,108,0,108,108,1,0,0,108,108,108,108,0,108,0,0,0,0,108,0,0,0,0,108,108,107,108,108,107,0,52,108,108,108,108,108,108,108,108
Alabama,Distribution,Under Development,0,135,0,135,135,0,0,0,135,135,135,135,0,135,0,0,0,0,135,0,0,0,0,135,135,135,135,135,135,0,0,135,135,135,135,135,135,135,135
Alabama,Distribution,Under Development,1,154,0,154,154,0,0,0,154,154,154,154,0,154,0,0,0,0,154,0,0,0,0,154,154,154,154,154,154,0,0,154,154,154,154,154,154,154,154
Alabama,Distribution,Under Development,2,4,0,4,4,0,0,0,4,4,4,4,0,4,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4
Alabama,Gathering,Abandoned,0,2,2,2,2,1,0,0,2,2,2,2,0,2,2,2,2,2,2,0,0,0,2,2,0,0,2,0,0,0,0,2,2,2,2,2,2,2,2
Alabama,Gathering,Abandoned,2,21,21,21,21,21,0,0,21,21,21,21,0,21,21,21,21,21,21,0,0,0,21,21,0,0,21,0,0,0,0,21,21,21,21,21,21,21,21
Alabama,Gathering,Abandoned,4,6,4,6,6,4,0,0,6,6,6,6,0,6,4,4,4,4,6,0,0,0,4,6,0,0,6,0,0,0,0,6,6,6,6,6,6,6,6
Alabama,Gathering,Abandoned,5,3,3,3,3,3,0,0,3,3,3,3,0,3,3,3,3,3,3,0,0,0,3,3,0,0,3,0,0,0,0,3,3,3,3,3,3,3,3
Alabama,Gathering,Abandoned,8,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1
Alabama,Gathering,Abandoned,10,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Alabama,Gathering,Idle,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
Alabama,Gathering,Operational,0,11460,11,11460,11460,11438,0,0,11460,11460,11460,11460,0,11460,66,66,66,66,11460,0,0,0,11,11460,3724,437,11460,6127,2823,0,0,11460,11460,11460,11460,11460,11460,11460,11460
